"title","rating","poster","totalRatings","releaseDate","genres"
"The Silence of the Lambs","8.68.6","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR0,0,190,281_.jpg","1.3M1.3M","","[""Crime"",""Drama"",""Thriller""]"
"Gone Girl","8.18.1","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_QL75_UY281_CR1,0,190,281_.jpg","921K921K","","[""Drama"",""Mystery"",""Thriller""]"
